,,,,,,,,,,,
Input,,,,,,,,,,,
,,,,,,,,,,,
% for personal loan,5%,,,Option 1 only housing,,,,Option 2 both housing & personal,,,
Years personal,5,,,Loan amount,"890,000",,,Personal loan,,,
% for Housing loan,6.00%,,,Bank amount ,"1,068,000",,,Amount,"200,000",,
Years Housing,20,,,Loan net,"1,958,000",,,Bank amont,"50,000",,
Salary,"10,000",,,MRC,"8,158",,,Loan net,"200,000",,
,10000,,,,,,,MRC Personal,"3,333",,
Apartement Price,"1,000,000",,,,FALSE,,,First Dep,"150,000",,
First Dep,110000,,,Net salary ,"1,842",0.1841666667,,Loan amount,"850,000",,
,,,,Sales Commission ,"25,000",0.8158333333,,Bank amount ,"1,020,000",,
,,,,Bank fees,"8,000",,,Loan net,"1,870,000",,
,,,,Amount needed before Loan,"143,000",,,MRC Housing,"7,792",,
,,,,With tax,"143,000",,,,,,
,,,,Eskan support,"43,000",,,MRC for 5 Years,"11,125",FALSE,
,,,,,,,,Net salary ,"(1,125)",,
,,,,,,,,Sales Commission ,"25,000",,
,,,,,,,,Bank fees,"5,000",,
,,,,,,,,Amount needed before Loan,"30,000",,
,,,,,,,,Loan net housing + Pers,"2,070,000",,
,,,,,,,,,,,
,,,,Month 1,"8,158",,,Month 1,"11,125",,"2,967"
,,,,Month 2,"8,158",,,Month 2,"11,125",,"2,967"
,,,,Month 3,"8,158",,,Month 3,"11,125",,"2,967"
,,,,Month 4,"8,158",,,Month 4,"11,125",,"2,967"
,,,,Month 5,"8,158",,,Month 5,"11,125",,"2,967"
,,,,Month 6,"8,158",,,Month 6,"11,125",,"2,967"
,,,,Month 7,"8,158",,,Month 7,"11,125",,"2,967"
,,,,Month 8,"8,158",,,Month 8,"11,125",,"2,967"
,,,,Month 9,"8,158",,,Month 9,"11,125",,"2,967"
,,,,Month 10,"8,158",,,Month 10,"11,125",,"2,967"
,,,,Month 11,"8,158",,,Month 11,"11,125",,"2,967"
,,,,Month 12,"8,158",,,Month 12,"11,125",,"2,967"
,,,,Month 13,"8,158",,,Month 13,"11,125",,"2,967"
,,,,Month 14,"8,158",,,Month 14,"11,125",,"2,967"
,,,,Month 15,"8,158",,,Month 15,"11,125",,"2,967"
,,,,Month 16,"8,158",,,Month 16,"11,125",,"2,967"
,,,,Month 17,"8,158",,,Month 17,"11,125",,"2,967"
,,,,Month 18,"8,158",,,Month 18,"11,125",,"2,967"
,,,,Month 19,"8,158",,,Month 19,"11,125",,"2,967"
,,,,Month 20,"8,158",,,Month 20,"11,125",,"2,967"
,,,,Month 21,"8,158",,,Month 21,"11,125",,"2,967"
,,,,Month 22,"8,158",,,Month 22,"11,125",,"2,967"
,,,,Month 23,"8,158",,,Month 23,"11,125",,"2,967"
,,,,Month 24,"8,158",,,Month 24,"11,125",,"2,967"
,,,,Month 25,"8,158",,,Month 25,"11,125",,"2,967"
,,,,Month 26,"8,158",,,Month 26,"11,125",,"2,967"
,,,,Month 27,"8,158",,,Month 27,"11,125",,"2,967"
,,,,Month 28,"8,158",,,Month 28,"11,125",,"2,967"
,,,,Month 29,"8,158",,,Month 29,"11,125",,"2,967"
,,,,Month 30,"8,158",,,Month 30,"11,125",,"2,967"
,,,,Month 31,"8,158",,,Month 31,"11,125",,"2,967"
,,,,Month 32,"8,158",,,Month 32,"11,125",,"2,967"
,,,,Month 33,"8,158",,,Month 33,"11,125",,"2,967"
,,,,Month 34,"8,158",,,Month 34,"11,125",,"2,967"
,,,,Month 35,"8,158",,,Month 35,"11,125",,"2,967"
,,,,Month 36,"8,158",,,Month 36,"11,125",,"2,967"
,,,,Month 37,"8,158",,,Month 37,"11,125",,"2,967"
,,,,Month 38,"8,158",,,Month 38,"11,125",,"2,967"
,,,,Month 39,"8,158",,,Month 39,"11,125",,"2,967"
,,,,Month 40,"8,158",,,Month 40,"11,125",,"2,967"
,,,,Month 41,"8,158",,,Month 41,"11,125",,"2,967"
,,,,Month 42,"8,158",,,Month 42,"11,125",,"2,967"
,,,,Month 43,"8,158",,,Month 43,"11,125",,"2,967"
,,,,Month 44,"8,158",,,Month 44,"11,125",,"2,967"
,,,,Month 45,"8,158",,,Month 45,"11,125",,"2,967"
,,,,Month 46,"8,158",,,Month 46,"11,125",,"2,967"
,,,,Month 47,"8,158",,,Month 47,"11,125",,"2,967"
,,,,Month 48,"8,158",,,Month 48,"11,125",,"2,967"
,,,,Month 49,"8,158",,,Month 49,"11,125",,"2,967"
,,,,Month 50,"8,158",,,Month 50,"11,125",,"2,967"
,,,,Month 51,"8,158",,,Month 51,"11,125",,"2,967"
,,,,Month 52,"8,158",,,Month 52,"11,125",,"2,967"
,,,,Month 53,"8,158",,,Month 53,"11,125",,"2,967"
,,,,Month 54,"8,158",,,Month 54,"11,125",,"2,967"
,,,,Month 55,"8,158",,,Month 55,"11,125",,"2,967"
,,,,Month 56,"8,158",,,Month 56,"11,125",,"2,967"
,,,,Month 57,"8,158",,,Month 57,"11,125",,"2,967"
,,,,Month 58,"8,158",,,Month 58,"11,125",,"2,967"
,,,,Month 59,"8,158",,,Month 59,"11,125",,"2,967"
,,,,Month 60,"8,158",,,Month 60,"11,125",,"2,967"
,,,,Month 61,"8,158",,,Month 61,"7,792",,(367)
,,,,Month 62,"8,158",,,Month 62,"7,792",,(367)
,,,,Month 63,"8,158",,,Month 63,"7,792",,(367)
,,,,Month 64,"8,158",,,Month 64,"7,792",,(367)
,,,,Month 65,"8,158",,,Month 65,"7,792",,(367)
,,,,Month 66,"8,158",,,Month 66,"7,792",,(367)
,,,,Month 67,"8,158",,,Month 67,"7,792",,(367)
,,,,Month 68,"8,158",,,Month 68,"7,792",,(367)
,,,,Month 69,"8,158",,,Month 69,"7,792",,(367)
,,,,Month 70,"8,158",,,Month 70,"7,792",,(367)
,,,,Month 71,"8,158",,,Month 71,"7,792",,(367)
,,,,Month 72,"8,158",,,Month 72,"7,792",,(367)
